id      ,Building Name                  ,Year of Completion ,Total Floors ,Swimming Pools ,Total Parking Spaces ,Total Building Area ,Elevators ,abc
8508132 ,Sulafa Tower                   ,2010               ,          67 ,NA             ,NA                   ,"846,914 sqft"      ,NA        ,NA
8090851 ,Delphine W3                    ,2009               ,          23 ,NA             ,985                  ,"133,898 sqft"      ,2         ,NA
8454831 ,Torch Tower                    ,2011               ,          76 ,NA             ,NA                   ,"852,218 sqft"      ,NA        ,NA
8205691 ,Stella Maris                   ,2022               ,          58 ,1              ,379                  ,"940,502 sqft"      ,8         ,NA
8197533 ,Cavalli Casa Tower             ,NA                 ,          72 ,1              ,640                  ,"1,908,955 sqft"    ,19        ,NA
8463308 ,DAMAC HEIGHTS                  ,2018               ,          80 ,1              ,703                  ,"884,073 sqft"      ,12        ,NA
8501721 ,THE RESIDENCE AT MARINA GATE 2 ,2019               ,          61 ,1              ,770                  ,"703,394 sqft"      ,11        ,NA
8444495 ,Studio One                     ,2019               ,          32 ,1              ,424                  ,"264,403 sqft"      ,6         ,NA
8476557 ,THE RESIDENCE AT MARINA GATE 2 ,2019               ,          61 ,1              ,770                  ,"703,394 sqft"      ,11        ,NA
6976321 ,MANCHESTER TOWER               ,2008               ,          33 ,NA             ,NA                   ,"257,766 sqft"      ,NA        ,NA
8352021 ,TIME PLACE TOWER               ,2009               ,          36 ,NA             ,NA                   ,"321,210 sqft"      ,NA        ,NA
8388395 ,TFG ONE HOTEL                  ,2018               ,          23 ,1              ,106                  ,"217,036 sqft"      ,6         ,NA
8465354 ,MAG218                         ,2010               ,          57 ,NA             ,NA                   ,"689,176 sqft"      ,NA        ,NA
8427309 ,ZUMURUD                        ,2010               ,          30 ,NA             ,NA                   ,"279,413 sqft"      ,NA        ,NA
8258574 ,MAG218                         ,2010               ,          57 ,NA             ,NA                   ,"689,176 sqft"      ,NA        ,NA
8473257 ,MARINA SUITES                  ,2015               ,          16 ,1              ,123                  ,"132,379 sqft"      ,4         ,NA
8290256 ,Ciel                           ,NA                 ,           1 ,1              ,326                  ,"1,363,152 sqft"    ,19        ,NA
8473400 ,DEC TOWERS T2                  ,2009               ,          28 ,NA             ,NA                   ,"290,902 sqft"      ,NA        ,NA
7115187 ,MARINA CROWN TOWER             ,2007               ,          55 ,1              ,451                  ,"983,257 sqft"      ,7         ,NA
8014737 ,EMIRATES CROWN TOWER           ,2009               ,          62 ,NA             ,NA                   ,"1,326,014 sqft"    ,NA        ,NA
